"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date","ha","result"
"254","27","60","46","3","0","58.69","4","bowled","2","v Sri Lanka","Colombo (SSC)","23 Jul 2008",2,2
"255","12","42","30","1","0","40.00","4","caught","3","v Sri Lanka","Colombo (SSC)","23 Jul 2008",2,2
"256","6","18","12","0","0","50.00","4","lbw","1","v Sri Lanka","Colombo (PSS)","8 Aug 2008",2,2
"257","14","26","22","1","0","63.63","6","lbw","3","v Sri Lanka","Colombo (PSS)","8 Aug 2008",2,2
"258","8","29","21","1","0","38.09","4","lbw","2","v Sri Lanka","Galle","18 Jul 2010",2,2
"259","84","168","142","11","1","59.15","4","lbw","3","v Sri Lanka","Galle","18 Jul 2010",2,2
"260","36","61","34","8","0","105.88","4","lbw","1","v South Africa","Centurion","16 Dec 2010",2,2
"261","111*","327","241","13","1","46.05","5","not out","3","v South Africa","Centurion","16 Dec 2010",2,2
"262","34","90","58","6","0","58.62","4","caught","2","v England","Lord's","21 Jul 2011",2,2
"263","12","84","68","1","0","17.64","5","lbw","4","v England","Lord's","21 Jul 2011",2,2
"264","16","33","34","3","0","47.05","4","caught","2","v England","Nottingham","29 Jul 2011",2,2
"265","56","136","86","8","0","65.11","4","lbw","4","v England","Nottingham","29 Jul 2011",2,2
"266","1","10","8","0","0","12.50","4","caught","1","v England","Birmingham","10 Aug 2011",2,2
"267","40","92","60","8","0","66.66","4","run out","3","v England","Birmingham","10 Aug 2011",2,2
"268","23","65","34","4","0","67.64","4","caught","2","v England","The Oval","18 Aug 2011",2,2
"269","91","235","172","11","0","52.90","4","lbw","3","v England","The Oval","18 Aug 2011",2,2
"270","73","151","98","8","1","74.48","4","bowled","2","v Australia","Melbourne","26 Dec 2011",2,2
"271","32","73","46","4","0","69.56","4","caught","4","v Australia","Melbourne","26 Dec 2011",2,2
"272","41","133","89","8","0","46.06","4","bowled","1","v Australia","Sydney","3 Jan 2012",2,2
"273","80","213","141","9","0","56.73","4","caught","3","v Australia","Sydney","3 Jan 2012",2,2
"274","15","46","25","3","0","60.00","4","lbw","1","v Australia","Perth","13 Jan 2012",2,2
"275","8","22","16","1","0","50.00","4","lbw","3","v Australia","Perth","13 Jan 2012",2,2
"276","25","94","69","3","0","36.23","4","caught","2","v Australia","Adelaide","24 Jan 2012",2,2
"277","13","46","34","2","0","38.23","4","caught","4","v Australia","Adelaide","24 Jan 2012",2,2
